Time,hr,Xacc,Zacc,Yacc,Xg,Zg,Yg
3.7,,7.173027992,10.50020218,-8.295907974,-0.5241521,0.163081855,-0.678549945
3.72,,7.28316164,7.363798618,-2.339134693,-0.782758832,0.259926349,-0.781779766
3.74,,3.912125826,10.06445789,2.008735418,-1.298908114,-0.244516358,-0.927578568
3.76,,1.206677675,5.568147182,-0.562637091,-1.728855014,-0.15405722,-1.151065826
3.78,,-0.565031588,5.338303566,-5.681440353,-0.795529544,-0.304112971,-1.528865814
3.8,,0.852335811,10.05966949,-8.865728378,-0.423050761,-0.482902795,-1.86303246
3.82,,4.295197487,11.45788288,-7.29513216,-1.553257823,-0.215782285,-1.773637533
3.84,,9.792284966,9.75799942,-7.965508461,-2.797336817,0.356770813,-1.764059544
3.86,,16.25662804,17.70674896,-8.08521843,-2.804786444,0.278018177,-1.539507985
3.88,,4.510675907,4.447660923,-6.193799496,-2.917594433,0.423817009,-1.054221392
3.9,,5.722141743,-0.719026685,-6.854598999,-3.324128389,0.956993759,-1.181928396
3.92,,7.814673901,6.267253876,-6.658274174,-1.630946279,0.400404066,-0.875431538
3.94,,3.289633274,6.281619072,-3.766078949,-2.516381502,0.060916245,-1.33943367
3.96,,6.057330132,5.678280354,-5.600037098,-3.277302504,-0.122130468,-1.330919862
3.98,,6.665457249,4.921712875,-4.220977306,-3.329449415,-0.085946821,-1.369232059
4,98.16666667,6.502651691,2.369493484,-4.742913246,-3.08893466,-0.204075798,-1.579948545
4.02,,5.999869347,3.61447835,-4.709394455,-2.923979759,-0.412663937,-1.538443804
4.04,,4.448426723,6.521039486,-3.914519548,-3.321999788,-0.717032313,-1.436278224
4.06,,1.379060149,4.351892471,-3.904942751,-3.503982306,-1.566283941,-1.368167758
4.08,,-3.236960649,3.705457926,-3.670310974,-2.933557749,-2.411278725,-1.519287705
4.1,,-5.463568211,6.626384258,-2.425326109,-2.151352167,-3.14559412,-1.362846613
4.12,,-4.405331135,6.884958267,-2.104502916,-2.303536415,-3.213704586,-1.00101018
4.14,,2.533065557,5.237747192,-2.798821449,-2.768602848,-2.395315409,-0.558292508
4.16,,11.45386124,7.512238979,-3.047818422,-1.757589102,-0.890501022,-1.587398171
4.18,,12.42590714,12.3389492,-3.148375034,-1.30422914,1.195380211,-3.100726366
4.2,,8.954314232,5.074941635,-0.021547459,-1.637331605,3.768676281,-3.722233772
4.22,,8.590395927,-4.597633362,-0.893036902,-0.111232802,5.140462875,-4.64172411
4.24,,15.52879238,-10.71242523,0.179565474,2.040630341,4.752020836,-4.004253387
4.26,,11.83693314,-3.156324148,7.721301079,3.987098217,4.07836628,-3.179479122
4.28,,13.01009274,4.634408474,10.83855152,4.881046772,3.220600367,-1.992867947
4.3,,15.22712326,7.742082119,13.78341961,4.356383801,2.420303106,0.120683126
4.32,,14.19761658,4.730176449,12.82573891,4.660752296,3.242949247,2.574786186
4.34,,20.57576942,1.809250474,3.756502628,6.804101944,2.904525518,3.814608335
4.36,,15.0643177,19.7035141,5.97353363,5.846299171,0.872919977,3.640075445
4.38,,42.9040947,5.759683132,-37.01196671,1.195635557,1.365656257,6.673117161
4.4,,-2.580949306,22.81597519,-25.2085495,-8.150389671,-1.666321039,4.610649109
4.42,,-10.38604641,-4.813111305,-20.58773994,-3.92967248,5.688538551,-7.866326332
4.44,,-3.691859007,-20.72018814,-1.113303423,6.065529346,4.437009811,-3.540251255
4.46,,24.44001007,-16.032341,-12.43787766,11.07483673,3.594143391,-3.764802933
4.48,,17.67399597,4.069376945,-2.272097111,10.84496403,3.813373804,-2.640981197
4.5,,8.50420475,15.30775928,-1.003170133,2.498247147,3.768676281,0.707071185
4.52,,0.55545485,5.42449522,-5.470750332,-6.286931038,3.798474789,2.446014881
4.54,,-0.081402868,-4.583268166,-9.842562675,-8.615455627,3.63458395,0.960356712
4.56,,4.065354347,-17.25338364,-8.880093575,-5.309972763,2.939645052,-0.34438324
4.58,,5.453991413,-24.00982094,-7.553705692,2.429072618,3.360013962,-1.441599369
4.6,,12.67011547,-9.903184891,-7.678204536,7.009497166,3.611171007,-1.835362554
4.62,,14.58547688,4.845098019,-6.093242645,6.340099812,2.550138712,-0.92970705
4.64,,8.61912632,7.842638493,-3.445255995,1.778830886,1.518904686,0.339913517
4.66,,7.010222435,-4.104427814,-4.110843658,-0.30917868,1.485913634,0.709199607
