Time,Xacc,hr,Zacc,Yacc,Xg,Zg,Yg
2.42,9.54807663,,1.86192286,0.58657974,-0.058021549,-0.22199735,-0.042313591
2.44,9.629479408,,2.034305096,0.050278593,-0.095269427,-0.24221763,0.088586099
2.46,9.816226959,,1.928960443,-0.126892328,0.087777287,-0.343318999,0.130090877
2.48,8.949525833,,1.660809875,-0.141257539,0.11651136,-0.555099785,-0.016772188
2.5,8.178593636,,2.393435478,-0.366312504,-0.287894189,-0.904165626,-0.192369327
2.52,8.54251194,,3.422942162,-0.586579084,-0.848740757,-0.977597177,-0.10084597
2.54,8.963891029,,3.667150736,0.25139156,-1.469184041,-0.869046211,0.101356797
2.56,9.308656693,,1.90023005,0.653617382,-1.628817797,-0.737082303,0.143925801
2.58,9.634267807,,0.506804585,0.92176801,-1.306357622,-0.680678368,0.110934824
2.6,9.84974575,,0.401459724,1.43891561,-0.661437154,-0.650880039,0.042824417
2.62,10.12268543,,1.287314415,1.462857604,-0.146352232,-0.535943747,-0.080625691
2.64,10.30464458,,1.689540267,1.137246251,0.12183249,-0.377374202,-0.212589607
2.66,10.35252857,,1.809250474,1.003170967,0.178236425,-0.190070599,-0.305177182
2.68,10.29506779,,2.139650106,0.711078227,0.100547984,-0.038950641,-0.312626779
2.7,10.15620422,,2.08697772,0.452504486,0.031373356,0.151545659,-0.293470711
2.72,9.84974575,,1.818827271,0.031124976,0.005831954,0.201564237,-0.262608171
2.74,9.543288231,,1.483638883,-0.174776375,0.168658391,0.182408184,-0.205140024
2.76,9.533711433,,1.727847457,-0.198718384,0.377246499,0.152609885,-0.162571028
2.78,9.437943459,,2.288090706,-0.260967612,0.397466779,0.171765938,-0.096589074
2.8,9.260772705,,2.57060647,-0.399831325,0.284658909,0.141967639,0.036439069
2.82,9.308656693,,2.503568649,-0.356735677,0.114382908,0.110040873,0.116255954
2.84,9.313445091,,2.302455902,-0.098161913,-0.003746072,0.108976647,0.134347782
2.86,9.174581528,,2.20189929,-0.117315531,-0.005874522,0.078114122,0.114127502
2.88,9.327810287,,2.177957296,-0.059854686,0.071813911,0.018517518,0.088586099
2.9,9.447520256,,2.422165871,-0.112527117,0.183557555,-0.007023886,0.113063276
2.92,9.323021889,,2.704681635,-0.040701073,0.168658391,-0.024051486,0.139668897
2.94,9.236830711,,2.704681635,-0.083796702,0.097355306,-0.080455415,0.127962425
2.96,9.337387085,,2.436531067,0.126893044,-0.015452549,-0.079391196,0.099228352
2.98,9.481039047,,2.182745695,0.031124976,-0.069728032,-0.077262744,0.126898199
